"symbol"	"name"
"AAED1"	"PRXL2C / Peroxiredoxin Like 2C"
"AARS"	"Alanyl-TRNA Synthetase"
"AC004381.6"	"ENSG00000005189 / Putative RNA exonuclease NEF-sp / REXO5 / RNA Exonuclease 5"
"AC004540.4"	"ENSG00000225792 / Antisense / Novel Transcript"
"AC004854.4"	"LINC01952"
"AC007405.6"	"ENSG00000239467 / LincRNA / Glutamate Rich 2"
"AC009005.2"	"ENSG00000267751 / Antisense / Novel Transcript, Antisense To BSG"
"AC009336.24"	"ENSG00000226363 / LincRNA / HAGLROS / HAGLR Opposite Strand LncRNA"
"AC010642.1"	"ENSG00000267216 / Uncharacterized protein / Novel Transcript"
"AC012309.5"	"ENSG00000226686 / LincRNA / LINC01535 / Long Intergenic Non-Protein Coding RNA 1535"
"AC013449.1"	"ENSG00000268412 / Uncharacterized protein / TRMT112P6 / TRNA Methyltransferase Subunit 11-2 Pseudogene 6"
"AC013461.1"	"OTTHUMG00000132297"
"AC022182.3"	"ENSG00000254802 / LincRNA / Novel Transcript "
"AC023490.1"	"ENSG00000206176 / LincRNA"
"AC069277.2"	"ENSG00000189229 / Novel Transcript"
"AC079922.3"	"ENSG00000237753 / LincRNA / Novel Transcript (FLJ42351)"
"AC084018.1"	"ENSG00000212694 / LincRNA / LINC01089 / Long Intergenic Non-Protein Coding RNA 1089"
"AC090498.1"	"ENSG00000279483 / ribosomal protein L41 (RPL41) pseudogene / Ribosomal Protein L41 (RPL41) Pseudogene"
"AC091729.9"	"ENSG00000229043 / Antisense / ZFAND2A-DT / ZFAND2A Divergent Transcript"
"AC093323.3"	"ENSG00000170846 / LincRNA / Putative MORF4 Family-Associated Protein 1-Like Protein UPP"
"AC113189.5"	"ENSG00000233223 / Antisense / LOC100996842 / Uncharacterized LOC100996842"
"AC116614.1"	"ENSG00000235688 / Antisense"
"AC145212.1"	"SNTG2-AS1 / SNTG2 Antisense RNA 1"
"AC159540.1"	"ENSG00000230606 / LincRNA / Novel Transcript"
